icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,departure_airport_icao,arrival_airport_icao,departure_airport_name,arrival_airport_name,departure_city,arrival_city,departure_lat,departure_lon,arrival_lat,arrival_lon,airline,route_confidence,route_distance_km,anomaly
3ffc1d,DMZYW,Germany,1753810285,1753810285,10.5168,51.5185,883.92,False,58.32,300.18,-0.33,,,7000.0,False,0,EDDF,EDDM,Frankfurt Airport,Munich Airport,Frankfurt,Munich,50.0379,8.5622,48.3538,11.7861,Unknown,medium,403.7368321696943,0
39de40,TVF27XU,France,1753810462,1753810462,14.1494,46.142,3642.36,False,169.67,106.02,-4.88,,3787.14,1000.0,False,0,LOWW,EDDM,Vienna Airport,Munich Airport,Vienna,Munich,48.1103,16.5697,48.3538,11.7861,Unknown,medium,531.6670719805866,0
4bc8c9,PGT1SU,Turkey,1753810462,1753810463,14.9965,48.4137,10058.4,False,238.45,119.61,0.0,,10302.24,7646.0,False,0,LOWW,EDDM,Vienna Airport,Munich Airport,Vienna,Munich,48.1103,16.5697,48.3538,11.7861,Unknown,medium,531.6670719805866,0
3d7f74,JMP901,Germany,1753810462,1753810463,7.5274,49.4963,2278.38,False,81.65,264.58,0.0,,2407.92,4451.0,False,0,EDDF,LSZH,Frankfurt Airport,Zurich Airport,Frankfurt,Zurich,50.0379,8.5622,47.4647,8.5492,Unknown,medium,285.6288450490251,0
3d3866,DETPM,Germany,1753810457,1753810461,9.8234,49.1141,1005.84,False,39.38,250.14,1.3,,1082.04,7000.0,False,0,EDDF,LSZH,Frankfurt Airport,Zurich Airport,Frankfurt,Zurich,50.0379,8.5622,47.4647,8.5492,Unknown,medium,285.6288450490251,0
3c5ee3,EWG14E,Germany,1753810463,1753810463,6.2831,51.7012,4419.6,False,191.15,103.7,-9.75,,4556.76,5230.0,False,0,EHAM,EDDF,Amsterdam Schiphol,Frankfurt Airport,Amsterdam,Frankfurt,52.3105,4.7683,50.0379,8.5622,Unknown,medium,490.8960156472752,0
3c5eeb,EWG26M,Germany,1753810463,1753810463,11.2246,49.2082,9037.32,False,198.5,340.63,6.83,,9273.54,1000.0,False,0,EDDM,EDDF,Munich Airport,Frankfurt Airport,Munich,Frankfurt,48.3538,11.7861,50.0379,8.5622,Unknown,medium,403.7368321696943,0
3d3851,DETOR,Germany,1753810463,1753810463,7.3719,52.4887,0.0,False,68.38,294.44,0.0,,60.96,7000.0,False,0,EHAM,EDDF,Amsterdam Schiphol,Frankfurt Airport,Amsterdam,Frankfurt,52.3105,4.7683,50.0379,8.5622,Unknown,medium,490.8960156472752,0
3c5ef0,EWG4PY,Germany,1753810463,1753810463,14.4682,49.2124,11582.4,False,223.49,306.1,-0.33,,11864.34,1000.0,False,0,LOWW,EDDM,Vienna Airport,Munich Airport,Vienna,Munich,48.1103,16.5697,48.3538,11.7861,Unknown,medium,531.6670719805866,0
44020a,AUA5U,Austria,1753810462,1753810463,9.957,47.7377,7315.2,False,191.47,268.15,-0.33,,7581.9,1000.0,False,0,LSZH,EDDM,Zurich Airport,Munich Airport,Zurich,Munich,47.4647,8.5492,48.3538,11.7861,Unknown,medium,372.6033810834516,0
46b826,AEE8DT,Greece,1753810463,1753810463,13.7983,52.4232,952.5,False,101.28,249.17,-2.93,,1013.46,1000.0,False,0,EKCH,EDDM,Copenhagen Airport,Munich Airport,Copenhagen,Munich,55.6181,12.6561,48.3538,11.7861,Unknown,medium,812.0995051539496,0
44022d,AUA429,Austria,1753810463,1753810463,11.832,46.64,10668.0,False,218.34,243.86,0.0,,11033.76,1000.0,False,0,EDDM,LIMC,Munich Airport,Milan Malpensa,Munich,Milan,48.3538,11.7861,45.6306,8.7281,Unknown,medium,454.5200241782972,0
3ffc3c,DMZBW,Germany,1753810462,1753810462,13.7464,52.5213,731.52,False,66.11,249.03,0.0,,784.86,,False,0,EKCH,EDDM,Copenhagen Airport,Munich Airport,Copenhagen,Munich,55.6181,12.6561,48.3538,11.7861,Unknown,medium,812.0995051539496,0
3d1255,DEFER,Germany,1753810463,1753810463,10.2394,49.3615,1363.98,False,65.33,180.0,0.0,,1463.04,4450.0,False,0,EDDF,EDDM,Frankfurt Airport,Munich Airport,Frankfurt,Munich,50.0379,8.5622,48.3538,11.7861,Unknown,medium,403.7368321696943,0
4aca81,NSZ2940,Sweden,1753810463,1753810463,12.2395,46.8039,10058.4,False,239.84,216.45,0.0,,10378.44,6031.0,False,0,EDDM,LIMC,Munich Airport,Milan Malpensa,Munich,Milan,48.3538,11.7861,45.6306,8.7281,Unknown,medium,454.5200241782972,0
393320,AFR45KR,France,1753810463,1753810463,10.7085,46.4142,9464.04,False,220.89,313.4,7.48,,9768.84,1000.0,False,0,LFPO,LFPG,Paris Orly,Paris Charles de Gaulle,Paris,Paris,48.7233,2.3794,49.0097,2.5479,Air France,high,36.88428451807087,0
4aca88,NSZ3YL,Sweden,1753810462,1753810463,6.5548,47.9813,11887.2,False,229.15,203.98,0.0,,12275.82,745.0,False,0,LSZH,EDDF,Zurich Airport,Frankfurt Airport,Zurich,Frankfurt,47.4647,8.5492,50.0379,8.5622,Unknown,medium,285.6288450490251,0
4aca92,NSZ3646,Sweden,1753810463,1753810463,7.8029,50.9994,12496.8,False,238.33,210.05,0.33,,12832.08,753.0,False,0,EDDF,EHAM,Frankfurt Airport,Amsterdam Schiphol,Frankfurt,Amsterdam,50.0379,8.5622,52.3105,4.7683,Unknown,medium,490.8960156472752,0
