icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,departure_airport_icao,arrival_airport_icao,departure_airport_name,arrival_airport_name,departure_city,arrival_city,departure_lat,departure_lon,arrival_lat,arrival_lon,airline,route_confidence,route_distance_km,anomaly
3ffc1b,DMDBC,Germany,1753811174,1753811175,9.7221,47.9155,739.14,False,38.28,318.81,-0.33,,,7000,False,0,LSZH,EDDM,Zurich Airport,Munich Airport,Zurich,Munich,47.4647,8.5492,48.3538,11.7861,Unknown,medium,372.6033810834516,0
3ffc1d,DMZYW,Germany,1753811168,1753811174,9.8648,51.7821,754.38,False,60.21,303.15,-0.33,,,,False,0,EDDF,EDDM,Frankfurt Airport,Munich Airport,Frankfurt,Munich,50.0379,8.5622,48.3538,11.7861,Unknown,medium,403.7368321696943,0
39de40,TVF27XU,France,1753811102,1753811102,14.4846,46.2098,411.48,False,71.71,306.54,-2.93,,487.68,1000,False,0,LOWW,EDDM,Vienna Airport,Munich Airport,Vienna,Munich,48.1103,16.5697,48.3538,11.7861,Unknown,medium,531.6670719805866,0
3d7f74,JMP901,Germany,1753811175,1753811175,6.712,49.4729,2286.0,False,85.28,275.54,0.0,,2415.54,7000,False,0,EDDF,LSZH,Frankfurt Airport,Zurich Airport,Frankfurt,Zurich,50.0379,8.5622,47.4647,8.5492,Unknown,medium,285.6288450490251,0
3c5ee7,EWG74E,Germany,1753811175,1753811175,9.6996,48.6091,5928.36,False,200.66,90.88,10.08,,6111.24,6424,False,0,LSZH,EDDF,Zurich Airport,Frankfurt Airport,Zurich,Frankfurt,47.4647,8.5492,50.0379,8.5622,Unknown,medium,285.6288450490251,0
3d3866,DETPM,Germany,1753811175,1753811175,9.8399,49.1412,883.92,False,48.37,91.22,0.98,,982.98,7000,False,0,EDDF,EDDM,Frankfurt Airport,Munich Airport,Frankfurt,Munich,50.0379,8.5622,48.3538,11.7861,Unknown,medium,403.7368321696943,0
3c5ee3,EWG14E,Germany,1753811175,1753811175,6.859,51.3362,411.48,False,65.03,233.04,-3.25,,487.68,5230,False,0,EDDF,EHAM,Frankfurt Airport,Amsterdam Schiphol,Frankfurt,Amsterdam,50.0379,8.5622,52.3105,4.7683,Unknown,medium,490.8960156472752,0
46b82c,AEE25,Greece,1753811174,1753811175,9.2851,48.7016,899.16,False,91.65,73.7,5.85,,998.22,7715,False,0,LSZH,EDDF,Zurich Airport,Frankfurt Airport,Zurich,Frankfurt,47.4647,8.5492,50.0379,8.5622,Unknown,medium,285.6288450490251,0
3c5eeb,EWG26M,Germany,1753811175,1753811175,10.197,50.2744,10668.0,False,198.89,306.69,0.0,,10949.94,1000,False,0,EDDF,EDDM,Frankfurt Airport,Munich Airport,Frankfurt,Munich,50.0379,8.5622,48.3538,11.7861,Unknown,medium,403.7368321696943,0
3d3851,DETOR,Germany,1753811175,1753811175,7.2242,52.4749,0.0,False,55.08,235.27,-1.95,,53.34,7000,False,0,EHAM,EDDF,Amsterdam Schiphol,Frankfurt Airport,Amsterdam,Frankfurt,52.3105,4.7683,50.0379,8.5622,Unknown,medium,490.8960156472752,0
3c5ef0,EWG4PY,Germany,1753811175,1753811175,12.5799,49.8951,11574.78,False,217.24,295.23,-0.33,,11864.34,1000,False,0,EDDM,EDDF,Munich Airport,Frankfurt Airport,Munich,Frankfurt,48.3538,11.7861,50.0379,8.5622,Unknown,medium,403.7368321696943,0
44020a,AUA5U,Austria,1753811175,1753811175,8.455,47.7645,2575.56,False,110.05,221.59,-3.9,,2727.96,1000,False,0,LSZH,LIMC,Zurich Airport,Milan Malpensa,Zurich,Milan,47.4647,8.5492,45.6306,8.7281,Unknown,medium,204.5512872959248,0
44022d,AUA429,Austria,1753811175,1753811175,10.0551,46.0118,10675.62,False,220.51,233.83,0.65,,11079.48,1000,False,0,LIMC,LSZH,Milan Malpensa,Zurich Airport,Milan,Zurich,45.6306,8.7281,47.4647,8.5492,Unknown,medium,204.5512872959248,0
3ffc3c,DMZBW,Germany,1753811174,1753811174,13.0914,52.3615,617.22,False,72.92,249.78,-6.18,,670.56,,False,0,EKCH,EDDM,Copenhagen Airport,Munich Airport,Copenhagen,Munich,55.6181,12.6561,48.3538,11.7861,Unknown,medium,812.0995051539496,0
3d1255,DEFER,Germany,1753811175,1753811175,10.1741,48.9612,1363.98,False,56.81,192.02,-0.33,,1470.66,4452,False,0,EDDM,EDDF,Munich Airport,Frankfurt Airport,Munich,Frankfurt,48.3538,11.7861,50.0379,8.5622,Unknown,medium,403.7368321696943,0
4aca81,NSZ2940,Sweden,1753811175,1753811175,10.9612,45.6461,6842.76,False,191.96,263.85,-4.88,,7109.46,6031,False,0,LIMC,EDDM,Milan Malpensa,Munich Airport,Milan,Munich,45.6306,8.7281,48.3538,11.7861,Unknown,medium,454.5200241782972,0
393320,AFR45KR,France,1753811175,1753811175,8.9975,47.0336,10355.58,False,214.98,283.7,0.0,,10683.24,1000,False,0,LFPO,EGKK,Paris Orly,London Gatwick,Paris,London,48.7233,2.3794,51.1481,-0.1903,Air France,high,392.1775169164212,0
4aca88,NSZ3YL,Sweden,1753811175,1753811175,6.7306,46.4845,11887.2,False,240.94,173.13,0.0,,12313.92,0745,False,0,LSZH,LIMC,Zurich Airport,Milan Malpensa,Zurich,Milan,47.4647,8.5492,45.6306,8.7281,Unknown,medium,204.5512872959248,0
4aca92,NSZ3646,Sweden,1753811175,1753811175,7.2492,49.5192,12496.8,False,240.7,189.1,0.0,,12870.18,0753,False,0,EDDF,LSZH,Frankfurt Airport,Zurich Airport,Frankfurt,Zurich,50.0379,8.5622,47.4647,8.5492,Unknown,medium,285.6288450490251,0
4400f3,EJU85PH,Austria,1753811174,1753811175,8.7416,45.0548,3192.78,False,135.4,7.42,-9.75,,3368.04,1000,False,0,EGKK,LIMC,London Gatwick,Milan Malpensa,London,Milan,51.1481,-0.1903,45.6306,8.7281,easyJet Europe,high,1164.075500611541,0
